"Plot Title: LOMULOAR"
"#","Date Time, GMT-05:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
211,04/28/15 12:45:03 PM,-0.2459,0.2414,-0.2125,0.2480
212,04/28/15 04:45:03 PM,-0.2467,0.2363,-0.1551,0.2429
213,04/28/15 08:45:03 PM,-0.2510,0.2305,-0.1718,0.2349
214,04/29/15 12:45:03 AM,-0.2532,0.2276,-0.1639,0.2313
215,04/29/15 04:45:03 AM,-0.2692,0.2240,-0.1689,0.2276
216,04/29/15 08:45:03 AM,-0.2706,0.2225,-0.1813,0.2262
217,04/29/15 12:45:03 PM,-0.2641,0.2240,-0.1697,0.2291
218,04/29/15 04:45:03 PM,-0.2866,0.2175,-0.3607,0.2233
219,04/29/15 08:45:03 PM,-0.3454,0.2109,-0.3818,0.2109
220,04/30/15 12:45:03 AM,-0.3411,0.2095,-0.3680,0.2080
221,04/30/15 04:45:03 AM,-0.3331,0.2080,-0.3549,0.2066
222,04/30/15 08:45:03 AM,-0.2387,0.2073,-0.3447,0.2066
223,04/30/15 12:45:03 PM,-0.3091,0.2095,-0.3621,0.2131
224,04/30/15 04:45:03 PM,-0.3149,0.2051,-0.3665,0.2066
225,04/30/15 08:45:03 PM,-0.3592,0.2008,-0.3767,0.1964
226,05/01/15 12:45:03 AM,-0.3672,0.1986,-0.3738,0.1949
227,05/01/15 04:45:03 AM,-0.3687,0.1978,-0.3687,0.1949
228,05/01/15 08:45:03 AM,-0.3462,0.1971,-0.3607,0.1957
229,05/01/15 12:45:03 PM,-0.3171,0.2000,-0.3861,0.2015
230,05/01/15 04:45:03 PM,-0.2321,0.1971,-0.3295,0.1964
231,05/01/15 08:45:03 PM,-0.3556,0.1920,-0.3542,0.1870
232,05/02/15 12:45:03 AM,-0.3549,0.1899,-0.3839,0.1855
233,05/02/15 04:45:03 AM,-0.3520,0.1891,-0.3861,0.1848
234,05/02/15 08:45:03 AM,-0.3309,0.1891,-0.3781,0.1862
235,05/02/15 12:45:03 PM,-0.3091,0.1913,-0.3810,0.1913
236,05/02/15 04:45:03 PM,-0.2474,0.1877,-0.2474,0.1840
237,05/02/15 08:45:03 PM,-0.3643,0.1819,-0.3316,0.1739
238,05/03/15 12:45:03 AM,-0.3571,0.1804,-0.3956,0.1732
239,05/03/15 04:45:03 AM,-0.3730,0.1797,-0.4006,0.1724
240,05/03/15 08:45:03 AM,-0.3505,0.1790,-0.3825,0.1732
241,05/03/15 12:45:03 PM,-0.3186,0.1811,-0.2619,0.1775
242,05/03/15 04:45:03 PM,-0.2132,0.1768,-0.0752,0.1681
243,05/03/15 08:45:03 PM,-0.3672,0.1702,-0.3607,0.1550
244,05/04/15 12:45:03 AM,-0.3832,0.1688,-0.3774,0.1550
245,05/04/15 04:45:03 AM,-0.3854,0.1681,-0.4006,0.1550
246,05/04/15 08:45:03 AM,-0.3658,0.1673,-0.4006,0.1557
247,05/04/15 12:45:03 PM,-0.3011,0.1695,-0.2626,0.1586
248,05/04/15 04:45:03 PM,-0.1878,0.1644,-0.0767,0.1441
249,05/04/15 08:45:03 PM,-0.3738,0.1579,-0.3396,0.1310
250,05/05/15 12:45:03 AM,-0.3825,0.1557,-0.3665,0.1318
251,05/05/15 04:45:03 AM,-0.3709,0.1550,-0.3999,0.1325
252,05/05/15 08:45:03 AM,-0.3585,0.1557,-0.3295,0.1339
253,05/05/15 12:45:03 PM,-0.3578,0.1579,-0.2990,0.1347
254,05/05/15 04:45:03 PM,-0.3629,0.1528,-0.3454,0.1216
255,05/05/15 08:45:03 PM,-0.3774,0.1499,-0.3680,0.1201
256,05/06/15 12:45:03 AM,-0.3781,0.1492,-0.3396,0.1209
257,05/06/15 04:45:03 AM,-0.3621,0.1492,-0.3113,0.1216
258,05/06/15 08:45:03 AM,-0.3462,0.1492,-0.2772,0.1230
259,05/06/15 12:45:03 PM,-0.3614,0.1499,-0.2968,0.1230
260,05/06/15 04:45:03 PM,0.0061,0.1506,0.1267,0.1209
261,05/06/15 08:45:03 PM,-0.2169,0.1506,-0.3055,0.1194
262,05/07/15 12:45:03 AM,-0.1929,0.1514,-0.2503,0.1216
263,05/07/15 04:45:03 AM,-0.1079,0.1514,-0.0912,0.1223
264,05/07/15 08:45:03 AM,-0.0506,0.1514,-0.0811,0.1238
265,05/07/15 12:45:03 PM,-0.1537,0.1535,-0.3345,0.1252
266,05/07/15 04:45:03 PM,-0.2663,0.1521,-0.1871,0.1201
267,05/07/15 08:45:03 PM,-0.3084,0.1492,-0.2910,0.1158
268,05/08/15 12:45:03 AM,-0.2626,0.1492,-0.2684,0.1172
269,05/08/15 04:45:03 AM,-0.2430,0.1492,-0.2677,0.1180
270,05/08/15 08:45:03 AM,-0.2234,0.1492,-0.2655,0.1187
271,05/08/15 12:45:03 PM,-0.3120,0.1485,-0.3302,0.1180
272,05/08/15 04:45:03 PM,-0.3273,0.1477,-0.2459,0.1121
273,05/08/15 08:45:03 PM,-0.3483,0.1448,-0.3164,0.1071
274,05/09/15 12:45:03 AM,-0.3418,0.1441,-0.3098,0.1078
275,05/09/15 04:45:03 AM,-0.3164,0.1434,-0.3011,0.1085
276,05/09/15 08:45:03 AM,-0.2844,0.1434,-0.2590,0.1092
277,05/09/15 12:45:03 PM,-0.3222,0.1441,-0.2038,0.1078
278,05/09/15 04:45:03 PM,-0.2815,0.1397,-0.1573,0.0969
279,05/09/15 08:45:03 PM,-0.3549,0.1339,-0.2946,0.0889
280,05/10/15 12:45:03 AM,-0.3549,0.1325,-0.0927,0.0896
281,05/10/15 04:45:03 AM,-0.3360,0.1318,0.0417,0.0896
282,05/10/15 08:45:03 AM,-0.3280,0.1310,0.0097,0.0904
283,05/10/15 12:45:03 PM,-0.3309,0.1310,-0.2706,0.0911
284,05/10/15 04:45:03 PM,-0.2772,0.1274,-0.1769,0.0845
285,05/10/15 08:45:03 PM,-0.2496,0.1238,-0.2888,0.0802
286,05/11/15 12:45:03 AM,-0.0048,0.1303,-0.1682,0.1238
287,05/11/15 04:45:03 AM,0.0170,0.1347,-0.1254,0.1296
288,05/11/15 08:45:03 AM,0.1318,0.2821,0.0511,0.2828
289,05/11/15 12:45:03 PM,0.0904,0.2625,0.0243,0.2581
290,05/11/15 04:45:03 PM,0.0620,0.2472,0.1143,0.2422
291,05/11/15 08:45:03 PM,0.1012,0.2371,0.0192,0.2313
292,05/12/15 12:45:03 AM,0.0998,0.2305,0.0126,0.2247
293,05/12/15 04:45:03 AM,0.1121,0.2269,-0.0092,0.2211
294,05/12/15 08:45:03 AM,0.0998,0.2378,0.1281,0.2291
295,05/12/15 12:45:03 PM,0.1267,0.2334,0.1194,0.2247
296,05/12/15 04:45:03 PM,0.1150,0.2298,0.1463,0.2204
297,05/12/15 08:45:03 PM,0.0874,0.2269,0.0097,0.2175
298,05/13/15 12:45:03 AM,0.1288,0.2254,0.0381,0.2160
299,05/13/15 04:45:03 AM,0.1020,0.2560,0.0998,0.2305
300,05/13/15 08:45:03 AM,0.0918,0.2530,0.0453,0.2305
301,05/13/15 12:45:03 PM,0.0933,0.2443,0.0933,0.2269
302,05/13/15 04:45:03 PM,0.0904,0.2400,0.1150,0.2240
303,05/13/15 08:45:03 PM,0.1586,0.2799,0.1121,0.2872
304,05/14/15 12:45:03 AM,0.1724,0.2530,0.0874,0.2647
305,05/14/15 04:45:03 AM,0.1761,0.2465,0.1078,0.2501
306,05/14/15 08:45:03 AM,0.1572,0.2429,0.1114,0.2436
307,05/14/15 12:45:03 PM,0.1230,0.2414,0.0780,0.2400
308,05/14/15 04:45:03 PM,0.0896,0.2327,0.0359,0.2305
309,05/14/15 08:45:03 PM,0.0475,0.2262,-0.0295,0.2240
310,05/15/15 12:45:03 AM,0.0257,0.2247,-0.0723,0.2211
311,05/15/15 04:45:03 AM,0.0976,0.2233,-0.0033,0.2196
312,05/15/15 08:45:03 AM,0.1426,0.2225,-0.0251,0.2196
313,05/15/15 12:45:03 PM,0.1790,0.2225,0.0490,0.2196
314,05/15/15 04:45:03 PM,0.1027,0.2225,-0.0244,0.2189
315,05/15/15 08:45:03 PM,-0.0455,0.2233,-0.0752,0.2196
316,05/16/15 12:45:03 AM,-0.0571,0.2218,-0.1021,0.2167
317,05/16/15 04:45:03 AM,0.0722,0.2211,-0.0375,0.2160
318,05/16/15 08:45:03 AM,0.1136,0.2204,-0.0237,0.2153
319,05/16/15 12:45:03 PM,0.0918,0.2196,-0.0012,0.2146
320,05/16/15 04:45:03 PM,0.0301,0.2146,-0.3040,0.2080
321,05/16/15 08:45:03 PM,0.0003,0.2087,-0.2619,0.2000
322,05/17/15 12:45:03 AM,0.0845,0.2080,-0.2634,0.1986
323,05/17/15 04:45:03 AM,0.1056,0.2073,-0.2728,0.1986
324,05/17/15 08:45:03 AM,0.1172,0.2066,-0.2801,0.1993
325,05/17/15 12:45:03 PM,0.2538,0.2698,0.0257,0.2734
326,05/17/15 04:45:03 PM,0.0991,0.2610,0.0061,0.2581
327,05/17/15 08:45:03 PM,0.0025,0.2472,-0.0985,0.2443
328,05/18/15 12:45:03 AM,-0.0491,0.2414,-0.1428,0.2371
329,05/18/15 04:45:03 AM,-0.0469,0.2552,-0.1406,0.2400
330,05/18/15 08:45:03 AM,-0.0368,0.2465,-0.1377,0.2363
331,05/18/15 12:45:03 PM,0.1063,0.2872,0.0809,0.2995
332,05/18/15 04:45:03 PM,-0.0048,0.2639,-0.1174,0.2821
333,05/18/15 08:45:03 PM,-0.0469,0.2509,-0.1682,0.2378
334,05/19/15 12:45:03 AM,-0.0731,0.2458,-0.1777,0.2298
335,05/19/15 04:45:03 AM,0.0061,0.2422,-0.1784,0.2247
336,05/19/15 08:45:03 AM,-0.0346,0.2400,-0.1842,0.2218
337,05/19/15 12:45:03 PM,-0.0651,0.2385,-0.1973,0.2196
338,05/19/15 04:45:03 PM,-0.0368,0.2320,-0.1951,0.2146
339,05/19/15 08:45:03 PM,0.0940,0.2886,0.1405,0.2988
340,05/20/15 12:45:03 AM,0.0061,0.2610,-0.0440,0.2850
341,05/20/15 04:45:03 AM,-0.0004,0.2509,-0.0418,0.2523
342,05/20/15 08:45:03 AM,-0.0113,0.2472,-0.0636,0.2422
343,05/20/15 12:45:03 PM,0.0664,0.2414,-0.1559,0.2371
344,05/20/15 04:45:03 PM,-0.0331,0.2363,-0.2576,0.2269
345,05/20/15 08:45:03 PM,-0.0346,0.2291,-0.2684,0.2182
