"Plot Title: LOMULOAR"
"#","Date Time, GMT-06:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
312,04/24/16 07:06:54 AM,0.2095,-0.2619,0.1775
313,04/24/16 11:06:54 AM,0.2095,0.1572,0.1819
314,04/24/16 03:06:54 PM,0.2066,0.0642,0.1768
315,04/24/16 07:06:54 PM,0.2029,-0.3011,0.1724
316,04/24/16 11:06:54 PM,0.2022,-0.3592,0.1717
317,04/25/16 03:06:54 AM,0.2015,-0.3847,0.1710
318,04/25/16 07:06:54 AM,0.2008,-0.3382,0.1717
319,04/25/16 11:06:54 AM,0.2015,0.1085,0.1739
320,04/25/16 03:06:54 PM,0.1986,0.1463,0.1702
321,04/25/16 07:06:54 PM,0.1942,-0.3295,0.1630
322,04/25/16 11:06:54 PM,0.1928,-0.3709,0.1623
323,04/26/16 03:06:54 AM,0.1920,-0.3752,0.1623
324,04/26/16 07:06:54 AM,0.1920,-0.3650,0.1623
325,04/26/16 11:06:54 AM,0.1920,0.1368,0.1644
326,04/26/16 03:06:54 PM,0.1884,0.0962,0.1594
327,04/26/16 07:06:54 PM,0.1833,-0.2655,0.1528
328,04/26/16 11:06:54 PM,0.1819,-0.3483,0.1514
329,04/27/16 03:06:54 AM,0.1826,0.0780,0.1557
330,04/27/16 07:06:54 AM,0.2843,-0.2365,0.2610
331,04/27/16 11:06:54 AM,0.2727,0.1129,0.2385
332,04/27/16 03:06:54 PM,0.2523,0.1572,0.2218
333,04/27/16 07:06:54 PM,0.2385,-0.3404,0.2080
334,04/27/16 11:06:54 PM,0.2327,-0.3643,0.2022
335,04/28/16 03:06:54 AM,0.2298,-0.3324,0.1986
336,04/28/16 07:06:54 AM,0.2276,-0.0861,0.1971
337,04/28/16 11:06:54 AM,0.2269,0.1644,0.2000
338,04/28/16 03:06:54 PM,0.2204,0.1840,0.1920
339,04/28/16 07:06:54 PM,0.2138,-0.2859,0.1840
340,04/28/16 11:06:54 PM,0.2131,-0.3040,0.1840
341,04/29/16 03:06:54 AM,0.2124,-0.3251,0.1833
342,04/29/16 07:06:54 AM,0.2116,-0.3280,0.1833
343,04/29/16 11:06:54 AM,0.2102,0.1572,0.1840
344,04/29/16 03:06:54 PM,0.2058,-0.2714,0.1782
345,04/29/16 07:06:54 PM,0.2044,-0.2677,0.1761
346,04/29/16 11:06:54 PM,0.2647,0.0192,0.2116
347,04/30/16 03:06:54 AM,0.2792,0.0896,0.3257
348,04/30/16 07:06:54 AM,0.2799,0.1557,0.2698
349,04/30/16 11:06:54 AM,0.2748,-0.1399,0.2480
350,04/30/16 03:06:54 PM,0.2560,0.1267,0.2305
351,04/30/16 07:06:54 PM,0.2443,-0.3055,0.2196
352,04/30/16 11:06:54 PM,0.2400,-0.3650,0.2146
353,05/01/16 03:06:54 AM,0.2371,-0.2619,0.2109
354,05/01/16 07:06:54 AM,0.2356,-0.3040,0.2073
355,05/01/16 11:06:54 AM,0.2327,0.0395,0.2066
356,05/01/16 03:06:54 PM,0.2284,-0.0099,0.2029
357,05/01/16 07:06:54 PM,0.2240,-0.3316,0.1971
358,05/01/16 11:06:54 PM,0.2363,-0.1544,0.2095
359,05/02/16 03:06:54 AM,0.2363,-0.2379,0.2044
360,05/02/16 07:06:54 AM,0.2327,-0.2590,0.2015
361,05/02/16 11:06:54 AM,0.2320,-0.2554,0.2008
362,05/02/16 03:06:54 PM,0.2284,-0.3033,0.1986
363,05/02/16 07:06:54 PM,0.2247,-0.3650,0.1942
364,05/02/16 11:06:54 PM,0.2225,-0.3847,0.1920
365,05/03/16 03:06:54 AM,0.2211,-0.3483,0.1899
366,05/03/16 07:06:54 AM,0.2196,-0.3200,0.1891
367,05/03/16 11:06:54 AM,0.2189,0.1310,0.1920
368,05/03/16 03:06:54 PM,0.2153,0.1572,0.1870
369,05/03/16 07:06:54 PM,0.2102,-0.3374,0.1797
370,05/03/16 11:06:54 PM,0.2087,-0.3876,0.1775
371,05/04/16 03:06:54 AM,0.2080,-0.4006,0.1775
372,05/04/16 07:06:54 AM,0.2080,-0.3985,0.1775
373,05/04/16 11:06:54 AM,0.2073,0.1499,0.1804
374,05/04/16 03:06:54 PM,0.2037,0.1572,0.1739
375,05/04/16 07:06:54 PM,0.1978,-0.3338,0.1666
376,05/04/16 11:06:54 PM,0.1964,-0.3542,0.1652
377,05/05/16 03:06:54 AM,0.1957,-0.3883,0.1644
378,05/05/16 07:06:54 AM,0.1949,-0.2801,0.1644
379,05/05/16 11:06:54 AM,0.1942,0.1572,0.1666
380,05/05/16 03:06:54 PM,0.1899,0.1681,0.1594
381,05/05/16 07:06:54 PM,0.1840,-0.2968,0.1514
382,05/05/16 11:06:54 PM,0.1826,-0.2786,0.1499
383,05/06/16 03:06:54 AM,0.1826,-0.2837,0.1492
384,05/06/16 07:06:54 AM,0.1819,-0.2960,0.1499
385,05/06/16 11:06:54 AM,0.1804,0.1572,0.1506
386,05/06/16 03:06:54 PM,0.1761,0.1659,0.1426
387,05/06/16 07:06:54 PM,0.1710,-0.2852,0.1361
388,05/06/16 11:06:54 PM,0.1702,-0.3374,0.1354
